Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-20,1:0,26.2,21.7,0,1.5,3.038,3.3,0.3,98.7,901,0,0,203.9,26,26,0,12.8
2023-02-20,2:0,25.9,21.8,0,2,355.5,3,0.9,99.1,900,0,0,217.8,25.7,25.8,0,12.77
2023-02-20,3:0,26,21.9,0,2.1,13.45,3.5,1.3,99.9,900,0,0,238,26,26,0,12.74
2023-02-20,4:0,25.6,22,0,1.8,0.545,2.7,1.2,99.9,900,0,0,261.1,25.6,25.6,0,12.72
2023-02-20,5:0,25.3,22.3,0,2.4,355.6,4.4,1.3,99.9,900,0,0,266.9,25.3,25.3,0,12.7
2023-02-20,6:0,24.9,22.3,0,2.4,344.9,3.8,1.2,99.9,900,0,0,259.4,24.9,24.9,0,12.68
2023-02-20,7:0,23.8,22.7,0,2.3,330.8,3.5,1.3,98.5,900,17.6,0.06,249.7,23.5,23.6,6.4,12.66
2023-02-20,8:0,24.9,22.6,0,2.9,325.5,4.1,1.3,78.2,901,183.4,0.66,228.7,20.8,22,54.9,12.74
2023-02-20,9:0,27.8,21.6,0,3.1,304.7,5.3,1.4,55.5,902,402.4,1.45,171.2,18,21,59.9,13.11
2023-02-20,10:0,30.6,21.2,0,2.9,284.9,5.5,1.1,45.9,902,619.6,2.23,154.3,17.6,21.5,59.8,13.37
2023-02-20,11:0,33.3,21.2,0,3,278.2,5.1,1.3,40.6,902,858,3.09,153.7,18.1,22.5,60,13.63
2023-02-20,12:0,36,21.1,0,4,284,7.3,2,31.6,902,1043,3.75,153.3,16.4,22.4,60,13.47
2023-02-20,13:0,37.8,21.4,0,4.6,280.8,8.1,1.6,23.3,902,1070,3.85,152.6,13.3,21.4,60,13.26
2023-02-20,14:0,38.6,21.3,0,4.5,282.5,8.1,1.8,20.4,902,995,3.58,152.4,11.9,20.9,60,13.35
2023-02-20,15:0,39.4,21.4,0,3.7,282.3,6.8,0.7,19.7,901,965,3.47,152.3,12,21.2,60,13.4
2023-02-20,16:0,39.7,21.3,0,3.3,276.2,5.8,1,18.4,900,781.3,2.81,152,11.2,21,60,13.36
2023-02-20,17:0,39.6,21.3,0,3.7,306.3,7,1.3,17.6,900,569.3,2.05,151.9,10.5,20.7,57.8,13.37
2023-02-20,18:0,38.9,21.2,0,3.3,288.3,5.4,1.4,18.6,900,323.7,1.17,151.9,10.8,20.6,58.4,13.27
2023-02-20,19:0,36.7,21.1,0,2,284.1,3.8,1,23.9,900,78.9,0.28,152.7,12.7,20.8,32.3,13
2023-02-20,20:0,33.2,21.4,0,1.5,307.6,2.4,0.7,33.6,901,0,0,154.7,15,20.9,0,12.94
2023-02-20,21:0,31.3,21.9,0,2,335.4,2.9,0.8,40.5,902,0,0,155.5,16.3,21,0,12.91
2023-02-20,22:0,29.6,21.9,0,2.4,346.9,3.7,1.6,43.4,902,0,0,155.4,15.9,20.3,0,12.88
2023-02-20,23:0,27.6,21.6,0,2.3,337.4,3.5,1.6,48.9,903,0,0,155.5,15.9,19.7,0,12.84
2023-02-20,24:0,26.5,21.5,0,2.6,335.1,4.3,1.6,50,903,0,0,155.2,15.3,19,0,12.81
